timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,etiqueta
1759632530.3836436,2680078,647463,-5450691,-4694743,-2170887,-3778747,-5354662,8388607,contraccion
1759632530.383752,2669610,636788,-5465616,-4708902,-2183975,-3789010,-5368931,8388607,contraccion
1759632530.38386,2662631,630922,-5475010,-4717240,-2191107,-3793194,-5377117,8388607,contraccion
1759632530.3839686,2658406,628731,-5480291,-4721156,-2193702,-3792872,-5380724,8388607,contraccion
1759632530.3840775,2652144,623653,-5488910,-4728592,-2199904,-3796261,-5388017,8388607,contraccion
1759632530.384186,2643248,615256,-5501190,-4739938,-2210059,-3803547,-5399304,8388607,contraccion
1759632530.4421406,2632881,604640,-5516015,-4754116,-2223049,-3813660,-5413397,8388607,contraccion
1759632530.4422488,2626039,598913,-5525372,-4762372,-2230026,-3817724,-5421407,8388607,contraccion
1759632530.4423566,2621903,596826,-5530636,-4766299,-2232596,-3817391,-5425017,8388607,contraccion
1759632530.4424644,2615686,591761,-5539251,-4773810,-2238889,-3820729,-5432302,8388607,contraccion
1759632530.4425726,2606781,583331,-5551672,-4785321,-2249180,-3828106,-5443599,8388607,contraccion
1759632530.4426808,2596446,572727,-5566549,-4799495,-2262228,-3838264,-5457707,8388607,contraccion
1759632530.4427884,2589621,567021,-5575877,-4807744,-2269226,-3842341,-5465760,8388607,contraccion
1759632530.4428966,2585466,564908,-5581216,-4811689,-2271839,-3842024,-5469407,8388607,contraccion
1759632530.4430044,2579354,559822,-5589813,-4819173,-2278041,-3845329,-5476801,8388607,contraccion
1759632530.4431136,2570549,551381,-5602106,-4830534,-2288276,-3852655,-5488204,8388607,contraccion
1759632530.4432218,2560261,540812,-5616883,-4844631,-2301263,-3862799,-5502366,8388607,contraccion
1759632530.4433308,2553456,535078,-5626252,-4852970,-2308285,-3866921,-5510447,8388607,contraccion
1759632530.4434392,2549129,532746,-5631889,-4857202,-2311094,-3866814,-5514330,8388607,contraccion
1759632530.4435492,2542751,527604,-5640672,-4864826,-2317434,-3870301,-5521731,8388607,contraccion
